year,age,births
1988,15,138
1988,16,450
1988,17,984
1988,18,1449
1988,19,1755
1988,20,2166
1988,21,2514
1988,22,2793
1988,23,3216
1988,24,3681
1988,25,4113
1988,26,4332
1988,27,4413
1988,28,4239
1988,29,4089
1988,30,3564
1988,31,3057
1988,32,2565
1988,33,2142
1988,34,1620
1988,35,1257
1988,36,918
1988,37,651
1988,38,492
1988,39,363
1988,40,237
1988,41,156
1988,42,72
1988,43,39
1988,44,27
1988,45,15
1988,46,9
1989,14,30
1989,15,126
1989,16,468
1989,17,1047
1989,18,1464
1989,19,1851
1989,20,2079
1989,21,2577
1989,22,2814
1989,23,3030
1989,24,3474
1989,25,3873
1989,26,4281
1989,27,4458
1989,28,4446
1989,29,4062
1989,30,3753
1989,31,3171
1989,32,2661
1989,33,2262
1989,34,1683
1989,35,1281
1989,36,1011
1989,37,693
1989,38,501
1989,39,366
1989,40,249
1989,41,150
1989,42,108
1989,43,45
1989,44,30
1989,45,15
1989,46,9
1990,14,30
1990,15,135
1990,16,459
1990,17,933
1990,18,1524
1990,19,1950
1990,20,2139
1990,21,2565
1990,22,2793
1990,23,3153
1990,24,3309
1990,25,3759
1990,26,4164
1990,27,4461
1990,28,4506
1990,29,4338
1990,30,4050
1990,31,3510
1990,32,2967
1990,33,2307
1990,34,1932
1990,35,1569
1990,36,1140
1990,37,819
1990,38,546
1990,39,435
1990,40,258
1990,41,165
1990,42,111
1990,43,57
1990,44,21
1990,45,15
1990,46,6
1991,14,27
1991,15,147
1991,16,465
1991,17,930
1991,18,1416
1991,19,1920
1991,20,2256
1991,21,2550
1991,22,2706
1991,23,3063
1991,24,3249
1991,25,3654
1991,26,3864
1991,27,4110
1991,28,4377
1991,29,4377
1991,30,4074
1991,31,3477
1991,32,3012
1991,33,2505
1991,34,2088
1991,35,1635
1991,36,1242
1991,37,885
1991,38,699
1991,39,438
1991,40,294
1991,41,213
1991,42,129
1991,43,51
1991,44,33
1991,45,12
1991,46,6
1992,14,27
1992,15,114
1992,16,411
1992,17,873
1992,18,1380
1992,19,1818
1992,20,2181
1992,21,2415
1992,22,2622
1992,23,2907
1992,24,3222
1992,25,3441
1992,26,3663
1992,27,3858
1992,28,4146
1992,29,4230
1992,30,4194
1992,31,3693
1992,32,3138
1992,33,2730
1992,34,2127
1992,35,1779
1992,36,1284
1992,37,897
1992,38,708
1992,39,507
1992,40,327
1992,41,204
1992,42,123
1992,43,78
1992,44,30
1992,45,18
1992,46,9
1993,14,24
1993,15,117
1993,16,420
1993,17,747
1993,18,1374
1993,19,1701
1993,20,2058
1993,21,2388
1993,22,2601
1993,23,2817
1993,24,3192
1993,25,3339
1993,26,3612
1993,27,3732
1993,28,3987
1993,29,4107
1993,30,4059
1993,31,3729
1993,32,3336
1993,33,2844
1993,34,2310
1993,35,1872
1993,36,1356
1993,37,966
1993,38,729
1993,39,543
1993,40,336
1993,41,219
1993,42,111
1993,43,84
1993,44,36
1993,45,24
1993,46,6
1994,14,27
1994,15,132
1994,16,381
1994,17,849
1994,18,1245
1994,19,1563
1994,20,1902
1994,21,2184
1994,22,2451
1994,23,2631
1994,24,3024
1994,25,3255
1994,26,3504
1994,27,3693
1994,28,3672
1994,29,3846
1994,30,3789
1994,31,3762
1994,32,3453
1994,33,2901
1994,34,2340
1994,35,1920
1994,36,1476
1994,37,1080
1994,38,771
1994,39,555
1994,40,393
1994,41,216
1994,42,153
1994,43,69
1994,44,45
1994,45,24
1994,46,15
1995,14,33
1995,15,150
1995,16,453
1995,17,873
1995,18,1293
1995,19,1638
1995,20,1890
1995,21,2103
1995,22,2382
1995,23,2607
1995,24,2976
1995,25,3141
1995,26,3372
1995,27,3726
1995,28,3705
1995,29,3684
1995,30,3798
1995,31,3753
1995,32,3390
1995,33,3009
1995,34,2421
1995,35,2013
1995,36,1644
1995,37,1128
1995,38,885
1995,39,630
1995,40,411
1995,41,228
1995,42,171
1995,43,75
1995,44,45
1995,45,30
1995,46,9
1996,14,21
1996,15,132
1996,16,462
1996,17,810
1996,18,1302
1996,19,1674
1996,20,1776
1996,21,2031
1996,22,2298
1996,23,2421
1996,24,2871
1996,25,3111
1996,26,3240
1996,27,3528
1996,28,3696
1996,29,3822
1996,30,3582
1996,31,3564
1996,32,3429
1996,33,3051
1996,34,2625
1996,35,2190
1996,36,1647
1996,37,1293
1996,38,927
1996,39,648
1996,40,471
1996,41,270
1996,42,159
1996,43,108
1996,44,60
1996,45,30
1996,46,12
1997,14,45
1997,15,141
1997,16,396
1997,17,828
